county_id,cbg,date,count
17183,171830109002,2020-01-12,5
17183,171830007002,2020-01-06,28
17183,171830007002,2020-01-07,18
17183,171830007002,2020-01-08,34
17183,171830007002,2020-01-09,40
17183,171830007002,2020-01-10,25
17183,171830007002,2020-01-11,21
17183,171830007002,2020-01-12,12
17183,171830102002,2020-01-06,20
17183,171830102002,2020-01-07,19
17183,171830102002,2020-01-08,33
17183,171830102002,2020-01-09,19
17183,171830102002,2020-01-10,27
17183,171830102002,2020-01-11,8
17183,171830102002,2020-01-12,26
17183,171830111001,2020-01-06,1
17183,171830111001,2020-01-07,0
17183,171830111001,2020-01-08,1
17183,171830111001,2020-01-09,2
17183,171830111001,2020-01-10,0
17183,171830111001,2020-01-11,0
17183,171830111001,2020-01-12,1
17183,171830007001,2020-01-06,2
17183,171830007001,2020-01-07,7
17183,171830007001,2020-01-08,8
17183,171830007001,2020-01-09,6
17183,171830007001,2020-01-10,3
17183,171830007001,2020-01-11,7
17183,171830007001,2020-01-12,7
17183,171830005001,2020-01-13,82
17183,171830005001,2020-01-14,72
17183,171830005001,2020-01-15,95
17183,171830005001,2020-01-16,100
17183,171830005001,2020-01-17,77
17183,171830005001,2020-01-18,70
17183,171830005001,2020-01-19,116
17183,481210217183,2020-01-13,383
17183,481210217183,2020-01-14,418
17183,481210217183,2020-01-15,458
17183,481210217183,2020-01-16,435
17183,481210217183,2020-01-17,471
17183,481210217183,2020-01-18,568
17183,481210217183,2020-01-19,491
17183,171830001001,2020-01-13,382
17183,171830001001,2020-01-14,374
17183,171830001001,2020-01-15,529
17183,171830001001,2020-01-16,495
17183,171830001001,2020-01-17,447
17183,171830001001,2020-01-18,320
17183,171830001001,2020-01-19,334
17183,171830012002,2020-01-13,699
17183,171830012002,2020-01-14,629
17183,171830012002,2020-01-15,673
17183,171830012002,2020-01-16,694
17183,171830012002,2020-01-17,692
17183,171830012002,2020-01-18,850
17183,171830012002,2020-01-19,670
17183,171830106002,2020-01-13,110
17183,171830106002,2020-01-14,102
17183,171830106002,2020-01-15,119
17183,171830106002,2020-01-16,125
17183,171830106002,2020-01-17,151
17183,171830106002,2020-01-18,93
17183,171830106002,2020-01-19,81
17183,171830003002,2020-01-13,39
17183,171830003002,2020-01-14,38
17183,171830003002,2020-01-15,42
17183,171830003002,2020-01-16,48
17183,171830003002,2020-01-17,47
17183,171830003002,2020-01-18,17
17183,171830003002,2020-01-19,25
17183,171830102001,2020-01-13,116
17183,171830102001,2020-01-14,103
17183,171830102001,2020-01-15,154
17183,171830102001,2020-01-16,210
17183,171830102001,2020-01-17,163
17183,171830102001,2020-01-18,117
17183,171830102001,2020-01-19,105
17183,171830103004,2020-01-13,29
17183,171830103004,2020-01-14,35
17183,171830103004,2020-01-15,42
17183,171830103004,2020-01-16,36
17183,171830103004,2020-01-17,55
17183,171830103004,2020-01-18,78
17183,171830103004,2020-01-19,41
17183,171830013002,2020-01-13,347
17183,171830013002,2020-01-14,379
17183,171830013002,2020-01-15,385
17183,171830013002,2020-01-16,464
17183,171830013002,2020-01-17,404
17183,171830013002,2020-01-18,424
17183,171830013002,2020-01-19,260
17183,171830006002,2020-01-13,271
17183,171830006002,2020-01-14,246
17183,171830006002,2020-01-15,266
17183,171830006002,2020-01-16,251
17183,171830006002,2020-01-17,265
17183,171830006002,2020-01-18,138
17183,171830006002,2020-01-19,117
17183,171830106003,2020-01-13,107
17183,171830106003,2020-01-14,181
17183,171830106003,2020-01-15,120
17183,171830106003,2020-01-16,122
17183,171830106003,2020-01-17,122
17183,171830106003,2020-01-18,79
17183,171830106003,2020-01-19,68
17183,171830012001,2020-01-13,1078
17183,171830012001,2020-01-14,1006
17183,171830012001,2020-01-15,1209
17183,171830012001,2020-01-16,1225
17183,171830012001,2020-01-17,1437
17183,171830012001,2020-01-18,1648
17183,171830012001,2020-01-19,1190
17183,171830110003,2020-01-13,243
17183,171830110003,2020-01-14,144
17183,171830110003,2020-01-15,194
17183,171830110003,2020-01-16,226
17183,171830110003,2020-01-17,148
17183,171830110003,2020-01-18,151
17183,171830110003,2020-01-19,77
17183,171830108002,2020-01-13,197
17183,171830108002,2020-01-14,234
17183,171830108002,2020-01-15,189
17183,171830108002,2020-01-16,198
17183,171830108002,2020-01-17,143
17183,171830108002,2020-01-18,100
17183,171830108002,2020-01-19,123
17183,171830107013,2020-01-13,132
17183,171830107013,2020-01-14,117
17183,171830107013,2020-01-15,143
17183,171830107013,2020-01-16,136
